Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කරන්න.,Dizziness,hypertension,Monitor blood pressure regularly and avoid processed snacks.,55.0,Male,hypertension
How can I reduce my risk of both diabetes and hypertension?,English,recommendation_for_both,"Follow a low-sodium, low-sugar diet, stay active, and maintain a healthy weight.",Fatigue,diabetes_and_hypertension,Include potassium-rich foods and avoid sugary drinks.,50.0,Female,both
මට දියවැඩියාව පාලනය සඳහා උපකාරය අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"දියවැඩියාව පාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,"Monitor your blood sugar regularly and eat smaller, balanced meals.",45.0,Male,diabetes
What are the best foods for heart health?,English,food_advice_for_hypertension,"Include omega-3-rich foods like salmon, walnuts, and flaxseeds in your diet.",Chest pain,heart_disease,"Avoid fried and processed foods, and eat whole grains and vegetables.",60.0,Female,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, පෝෂ්‍ය ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with lean meats, whole grains, and fresh fruits.",50.0,Male,both
How can I manage both hypertension and diabetes?,English,recommendation_for_both,"Follow a balanced diet low in sugar and salt, exercise regularly, and monitor your health metrics daily.",Fatigue,diabetes_and_hypertension,Avoid processed foods and focus on fresh vegetables and lean proteins.,55.0,Female,both
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and limit processed foods.,50.0,Male,hypertension
How can I lower my blood sugar levels?,English,recommendation_for_diabetes,"Monitor your blood sugar levels, eat a balanced diet with low glycemic foods, and exercise regularly.",Frequent urination,diabetes,Avoid sugary drinks and focus on whole grains and lean proteins.,45.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and avoid processed snacks.,55.0,Female,hypertension
What are the early signs of kidney problems?,English,diagnosis_inquiry,"Signs include swelling in the legs, fatigue, and changes in urination patterns.",Swelling in legs,kidney_disease,Drink plenty of water and consult a nephrologist for proper diagnosis.,50.0,Male,general
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, vegetables, and lean proteins.",40.0,Female,both
How can I prevent high blood pressure?,English,recommendation_for_hypertension,"Reduce sodium intake, maintain a healthy weight, and engage in regular physical activity.",Dizziness,hypertension,Avoid processed foods and include fresh fruits and vegetables in your diet.,35.0,Male,hypertension
මට දියවැඩියාව පාලනය සඳහා උපකාරය අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"දියවැඩියාව පාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,"Monitor your blood sugar levels and maintain a low-carb, high-fiber diet.",50.0,Male,diabetes
What foods help lower cholesterol naturally?,English,food_advice_for_hypertension,"Include oats, nuts, fatty fish, and olive oil in your meals to lower cholesterol levels.",Chest pain,high_cholesterol,"Avoid trans fats and fried foods, and include whole grains in your diet.",60.0,Female,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,Balance meals with fiber-rich options like lentils and green vegetables.,55.0,Male,both
How can I manage both hypertension and diabetes?,English,recommendation_for_both,"Follow a low-sodium, low-sugar diet, exercise regularly, and monitor your health metrics daily.",Fatigue,diabetes_and_hypertension,Include potassium-rich foods and avoid sugary and processed snacks.,50.0,Female,both
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,"Include leafy greens, low-fat dairy, and whole grains in your meals.",45.0,Male,hypertension
How can I prevent diabetes complications?,English,recommendation_for_diabetes,"Maintain stable blood sugar levels, follow a healthy diet, and exercise regularly.",Frequent urination,diabetes,Regularly monitor blood sugar and attend routine check-ups with your doctor.,50.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කරන්න.,Headache,hypertension,Avoid processed foods and monitor your blood pressure daily.,55.0,Female,hypertension
What are the early symptoms of thyroid problems?,English,diagnosis_inquiry,"Symptoms include weight changes, fatigue, sensitivity to cold or heat, and hair thinning.",Fatigue,thyroid_disorder,Consult your doctor for blood tests to confirm thyroid hormone levels.,40.0,Male,general
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, green leafy vegetables, and lean proteins.",45.0,Female,both
How can I reduce stress to improve health?,English,recommendation,"Practice mindfulness, engage in yoga or meditation, and maintain a consistent sleep schedule.",Fatigue,stress,Spend time outdoors and engage in relaxing activities like hobbies or reading.,35.0,Male,general
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Avoid sugary drinks and eat smaller, frequent meals rich in fiber.",50.0,Male,diabetes
What foods support bone health?,English,food_advice,"Foods rich in calcium and vitamin D, such as dairy products, leafy greens, and fortified cereals, support bone health.",Joint pain,osteoporosis,Engage in weight-bearing exercises like walking or light resistance training.,60.0,Female,general
How can I manage high cholesterol naturally?,English,recommendation_for_hypertension,"Include foods rich in fiber, like oats and beans, and omega-3 sources, like salmon and walnuts, in your diet.",Chest pain,high_cholesterol,"Avoid trans fats and fried foods, and exercise regularly.",50.0,Female,hypertension
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and limit processed snacks.,45.0,Male,hypertension
How can I lower my blood sugar quickly?,English,recommendation_for_diabetes,"Drink water, take a short walk, and eat low-glycemic index foods.",Frequent urination,hyperglycemia,Monitor blood sugar levels and avoid high-sugar snacks.,45.0,Male,diabetes
මට පීඩනය සඳහා මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation_for_hypertension,"පීඩනය පාලනය සඳහා, ධ්‍යානය සහ මෘදු ව්‍යායාම වඩාත් සුදුසු වේ.",Headache,hypertension,Practice relaxation techniques and limit salt intake to reduce blood pressure.,50.0,Female,hypertension
